,FB,MSFT,TSLA,TWTR
2019-08-27,181.3000030517578,135.27967834472656,214.0800018310547,42.13999938964844
2019-08-28,181.75999450683594,135.10028076171875,215.58999633789062,41.68000030517578
2019-08-29,185.57000732421875,137.65159606933594,221.7100067138672,42.4900016784668
2019-08-30,185.6699981689453,137.39248657226562,225.61000061035156,42.650001525878906
2019-09-03,182.38999938964844,135.5786590576172,225.00999450683594,41.959999084472656
2019-09-04,187.13999938964844,137.16326904296875,220.67999267578125,43.36000061035156
2019-09-05,190.89999389648438,139.57505798339844,229.5800018310547,45.29999923706055
2019-09-06,187.49000549316406,138.6282958984375,227.4499969482422,45.41999816894531
2019-09-09,188.75999450683594,137.05364990234375,231.7899932861328,44.2599983215332
2019-09-10,186.1699981689453,135.6185302734375,235.5399932861328,43.25
2019-09-11,188.49000549316406,135.65838623046875,247.10000610351562,43.25
2019-09-12,187.47000122070312,137.05364990234375,245.8699951171875,43.20000076293945
2019-09-13,187.19000244140625,136.8543243408203,245.1999969482422,42.630001068115234
2019-09-16,186.22000122070312,135.86767578125,242.80999755859375,42.7599983215332
2019-09-17,188.0800018310547,136.92408752441406,244.7899932861328,43.2400016784668
2019-09-18,188.13999938964844,138.0502471923828,243.49000549316406,43.2400016784668
2019-09-19,190.13999938964844,140.59161376953125,246.60000610351562,42.93000030517578
2019-09-20,189.92999267578125,138.96713256835938,240.6199951171875,43.22999954223633
2019-09-23,186.82000732421875,138.66815185546875,241.22999572753906,43.380001068115234
2019-09-24,181.27999877929688,136.91412353515625,223.2100067138672,41.41999816894531
2019-09-25,182.8000030517578,138.8874053955078,228.6999969482422,42.5
2019-09-26,180.11000061035156,139.06678771972656,242.55999755859375,42.439998626708984
2019-09-27,177.10000610351562,137.26292419433594,242.1300048828125,41.349998474121094
